__time,/model_pose/x/position,/model_pose/y/position,/model_pose/z/position
1751976387.82489,0.000910506,-0.020552537,0.058817149
1751976387.82694,0.000910506,-0.020552537,0.058817149
1751976387.82894,0.000910506,-0.020552537,0.058817149
1751976387.83094,0.000910506,-0.020552537,0.058817149
1751976387.83294,0.000910506,-0.020552537,0.058817149
1751976387.83493,0.000910506,-0.020552537,0.058817149
1751976387.83693,0.000952657,-0.020511399,0.058876292
1751976387.83893,0.000952657,-0.020511399,0.058876292
1751976387.84087,0.000952657,-0.020511399,0.058876292
1751976387.84294,0.000952657,-0.020511399,0.058876292
1751976387.84496,0.000952657,-0.020511399,0.058876292
1751976387.84696,0.000958371,-0.020435309,0.058876116
1751976387.84893,0.000958371,-0.020435309,0.058876116
1751976387.85113,0.000958371,-0.020435309,0.058876116
1751976387.85296,0.000958371,-0.020435309,0.058876116
1751976387.85497,0.000958371,-0.020435309,0.058876116
1751976387.85698,0.000982003,-0.02037046,0.05890447
1751976387.85896,0.000982003,-0.02037046,0.05890447
1751976387.86096,0.000982003,-0.02037046,0.05890447
1751976387.86302,0.000982003,-0.02037046,0.05890447
1751976387.86495,0.000982003,-0.02037046,0.05890447
1751976387.86691,0.000982003,-0.02037046,0.05890447
1751976387.86895,0.000953627,-0.020311101,0.058854563
1751976387.87096,0.000953627,-0.020311101,0.058854563
1751976387.87297,0.000953627,-0.020311101,0.058854563
1751976387.87495,0.000953627,-0.020311101,0.058854563
1751976387.87696,0.000953627,-0.020311101,0.058854563
1751976387.87895,0.000998983,-0.020200745,0.058910726
1751976387.88095,0.000998983,-0.020200745,0.058910726
1751976387.88296,0.000998983,-0.020200745,0.058910726
1751976387.88493,0.000998983,-0.020200745,0.058910726
1751976387.8869,0.000998983,-0.020200745,0.058910726
1751976387.88896,0.000998983,-0.020200745,0.058910726
1751976387.89096,0.0010447,-0.02015559,0.05897498
1751976387.89296,0.0010447,-0.02015559,0.05897498
1751976387.89496,0.0010447,-0.02015559,0.05897498
1751976387.89698,0.0010447,-0.02015559,0.05897498
1751976387.89895,0.0010447,-0.02015559,0.05897498
1751976387.90095,0.0010447,-0.02015559,0.05897498
1751976387.90296,0.000930751,-0.020222338,0.058923781
1751976387.90495,0.000930751,-0.020222338,0.058923781
1751976387.90693,0.000930751,-0.020222338,0.058923781
1751976387.90894,0.000930751,-0.020222338,0.058923781
1751976387.91094,0.000930751,-0.020222338,0.058923781
1751976387.91295,0.000930751,-0.020222338,0.058923781
1751976387.91498,0.001057907,-0.020165481,0.059037702
1751976387.91697,0.001057907,-0.020165481,0.059037702
1751976387.91895,0.001057907,-0.020165481,0.059037702
1751976387.92094,0.001057907,-0.020165481,0.059037702
1751976387.92297,0.001057907,-0.020165481,0.059037702
1751976387.92495,0.000950628,-0.020160008,0.058937596
1751976387.92695,0.000950628,-0.020160008,0.058937596
1751976387.92894,0.000950628,-0.020160008,0.058937596
1751976387.93093,0.000950628,-0.020160008,0.058937596
1751976387.93297,0.000950628,-0.020160008,0.058937596
1751976387.93495,0.000950628,-0.020160008,0.058937596
1751976387.93698,0.000976751,-0.020202992,0.058938676
1751976387.93898,0.000976751,-0.020202992,0.058938676
1751976387.94095,0.000976751,-0.020202992,0.058938676
1751976387.94295,0.000976751,-0.020202992,0.058938676
1751976387.94497,0.000976751,-0.020202992,0.058938676
1751976387.94696,0.000984974,-0.020242302,0.058935237
1751976387.94897,0.000984974,-0.020242302,0.058935237
1751976387.95095,0.000984974,-0.020242302,0.058935237
1751976387.95294,0.000984974,-0.020242302,0.058935237
1751976387.95494,0.000984974,-0.020242302,0.058935237
1751976387.95697,0.000984974,-0.020242302,0.058935237
1751976387.95892,0.001007343,-0.020233095,0.058956939
1751976387.96103,0.001007343,-0.020233095,0.058956939
1751976387.96299,0.001007343,-0.020233095,0.058956939
1751976387.96496,0.001007343,-0.020233095,0.058956939
1751976387.96694,0.001007343,-0.020233095,0.058956939
1751976387.96898,0.001007343,-0.020233095,0.058956939
1751976387.97094,0.000972907,-0.020303354,0.058901865
1751976387.97296,0.000972907,-0.020303354,0.058901865
1751976387.97494,0.000972907,-0.020303354,0.058901865
1751976387.97709,0.000972907,-0.020303354,0.058901865
1751976387.97924,0.000972907,-0.020303354,0.058901865
1751976387.981,0.000920169,-0.020355155,0.058903565
1751976387.98299,0.000920169,-0.020355155,0.058903565
1751976387.98496,0.000920169,-0.020355155,0.058903565
1751976387.98696,0.000920169,-0.020355155,0.058903565
