time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,roll_effort,roll_position,roll_velocity
1746523750.53413,18.974,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.54482,18.985,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.55533,18.995,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.56579,19.006,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.57668,19.017,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.58812,19.028,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.59886,19.039,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.60953,19.049,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.62022,19.06,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.63085,19.071,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-15
1746523750.64221,19.082,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-15
1746523750.65272,19.093,0,60004.421875,0,0,-35.067501068,0,0,-2.982001305,-15
1746523750.6633,19.103,0,60004.421875,0,0,-35.067501068,0,0,-2.982001305,-15
1746523750.67457,19.114,0,60004.421875,0,0,-35.067501068,0,0,-2.982001305,-15
1746523750.68612,19.126,0,60004.421875,0,0,-35.067501068,0,0,-2.972999811,-15
1746523750.69725,19.137,0,60004.421875,0,0,-35.067501068,0,0,-2.972999811,-15
1746523750.70776,19.148,0,60004.421875,0,0,-35.067501068,0,0,-2.96400094,-15
1746523750.71832,19.158,0,60004.421875,0,0,-35.067501068,0,0,-2.954999447,-15
1746523750.72884,19.169,0,60004.421875,0,0,-35.067501068,0,0,-2.946000576,-15
1746523750.74035,19.18,0,60004.421875,0,0,-35.067501068,0,0,-2.936999321,-15
1746523750.75137,19.191,0,60004.421875,0,0,-35.067501068,0,0,-2.918998957,-15
1746523750.762,19.202,0,60004.421875,0,0,-35.067501068,0,0,-2.910000086,-15
1746523750.77271,19.213,0,60004.421875,0,0,-35.067501068,0,0,-2.891999722,-15
1746523750.78336,19.223,0,60004.421875,0,0,-35.067501068,0,0,-2.883000851,-15
1746523750.7946,19.234,0,60004.421875,0,0,-35.067501068,0,0,-2.865000725,-15
1746523750.80581,19.245,0,60004.421875,0,0,-35.067501068,0,0,-2.837998867,-15
1746523750.81642,19.256,0,60004.421875,0,0,-35.067501068,0,0,-2.820001125,-15
1746523750.82714,19.267,0,60004.421875,0,0,-35.067501068,0,0,-2.792999506,-15
1746523750.83774,19.278,0,60004.421875,0,0,-35.067501068,0,0,-2.766000271,-15
1746523750.84873,19.288,0,60004.421875,0,0,-35.067501068,0,0,-2.739001274,-15
1746523750.85966,19.299,0,60004.421875,0,0,-35.067501068,0,0,-2.703000546,-15
1746523750.87034,19.31,0,60004.421875,0,0,-35.067501068,0,0,-2.675998688,-15
1746523750.88096,19.321,0,60004.421875,0,0,-35.067501068,0,0,-2.64000082,-15
1746523750.89213,19.332,0,60004.421875,0,0,-35.067501068,0,0,-2.60400033,-15
1746523750.90335,19.343,0,60004.421875,0,0,-35.067501068,0,0,-2.567999601,-15
1746523750.91453,19.354,0,60004.421875,0,0,-35.067501068,0,0,-2.531999111,-15
1746523750.92506,19.365,0,60004.421875,0,0,-35.067501068,0,0,-2.496001244,-15
1746523750.93562,19.376,0,60004.421875,0,0,-35.067501068,0,0,-2.460000515,-15
1746523750.94633,19.386,0,60004.421875,0,0,-35.067501068,0,0,-2.415001154,-15
1746523750.95755,19.397,0,60004.421875,0,0,-35.067501068,0,0,-2.369998932,-15
1746523750.9686,19.408,0,60004.421875,0,0,-35.067501068,0,0,-2.334001064,-15
1746523750.97926,19.419,0,60004.421875,0,0,-35.067501068,0,0,-2.28000021,-15
1746523750.99001,19.43,0,60004.421875,0,0,-35.067501068,0,0,-2.23500061,-15
1746523751.00084,19.441,0,60004.421875,0,0,-35.067501068,0,0,-2.190001249,-15
1746523751.01202,19.452,0,60004.421875,0,0,-35.067501068,0,0,-2.136000395,-15
1746523751.02272,19.463,0,60004.421875,0,0,-35.067501068,0,0,-2.091001034,-15
1746523751.03334,19.473,0,60004.421875,0,0,-35.067501068,0,0,-2.045998812,-15
1746523751.04394,19.484,0,60004.421875,0,0,-35.067501068,0,0,-1.99200058,-15
1746523751.05465,19.495,0,60004.421875,0,0,-35.067501068,0,0,-1.947001219,-15
1746523751.06585,19.506,0,60004.421875,0,0,-35.067501068,0,0,-1.901999116,-15
1746523751.07662,19.517,0,60004.421875,0,0,-35.067501068,0,0,-1.856999636,-15
1746523751.08727,19.527,0,60004.421875,0,0,-35.067501068,0,0,-1.802998781,-15
1746523751.09791,19.538,0,60004.421875,0,0,-35.067501068,0,0,-1.75799942,-15
1746523751.10863,19.549,0,60004.421875,0,0,-35.067501068,0,0,-1.71299994,-15
1746523751.11983,19.56,0,60004.421875,0,0,-35.067501068,0,0,-1.658998966,-15
1746523751.13098,19.571,0,60004.421875,0,0,-35.067501068,0,0,-1.613999605,-15
1746523751.14165,19.582,0,60004.421875,0,0,-35.067501068,0,0,-1.559998751,-15
1746523751.15286,19.593,0,60004.421875,0,0,-35.067501068,0,0,-1.51499927,-15
1746523751.16428,19.604,0,60004.421875,0,0,-35.067501068,0,0,-1.461001039,-15
1746523751.17547,19.615,0,60004.421875,0,0,-35.067501068,0,0,-1.415998936,-15
1746523751.18632,19.626,0,60004.421875,0,0,-35.067501068,0,0,-1.370999575,-15
1746523751.19685,19.637,0,60004.421875,0,0,-35.067501068,0,0,-1.326000094,-15
1746523751.20733,19.647,0,60004.421875,0,0,-35.067501068,0,0,-1.281000614,-15
1746523751.21774,19.658,0,60004.421875,0,0,-35.067501068,0,0,-1.236001253,-15
1746523751.22826,19.668,0,60004.421875,0,0,-35.067501068,0,0,-1.200000644,-15
1746523751.23875,19.679,0,60004.421875,0,0,-35.067501068,0,0,-1.155001163,-15
1746523751.24939,19.689,0,60004.421875,0,0,-35.067501068,0,0,-1.119000673,-15
1746523751.26014,19.7,0,60004.421875,0,0,-35.067501068,0,0,-1.082999945,-15
1746523751.27086,19.711,0,60004.421875,0,0,-35.067501068,0,0,-1.038000584,-15
1746523751.28166,19.722,0,60004.421875,0,0,-35.067501068,0,0,-1.001999974,-15
1746523751.293,19.733,0,60004.421875,0,0,-35.067501068,0,0,-0.965999365,-15
1746523751.30369,19.744,0,60004.421875,0,0,-35.067501068,0,0,-0.929998755,-15
1746523751.31425,19.754,0,60004.421875,0,0,-35.067501068,0,0,-0.894000828,-15
1746523751.32496,19.765,0,60004.421875,0,0,-35.067501068,0,0,-0.86699903,-15
1746523751.3357,19.776,0,60004.421875,0,0,-35.067501068,0,0,-0.831001103,-15
1746523751.34679,19.787,0,60004.421875,0,0,-35.067501068,0,0,-0.803999305,-15
1746523751.35759,19.798,0,60004.421875,0,0,-35.067501068,0,0,-0.777000189,-15
1746523751.36836,19.808,0,60004.421875,0,0,-35.067501068,0,0,-0.750001073,-15
1746523751.37946,19.819,0,60004.421875,0,0,-35.067501068,0,0,-0.722999275,-15
1746523751.39105,19.831,0,60004.421875,0,0,-35.067501068,0,0,-0.696000159,-15
1746523751.4019,19.842,0,60004.421875,0,0,-35.067501068,0,0,-0.677999854,-15
1746523751.41243,19.852,0,60004.421875,0,0,-35.067501068,0,0,-0.651000738,-15
1746523751.4232,19.863,0,60004.421875,0,0,-35.067501068,0,0,-0.633000433,-15
1746523751.43372,19.874,0,60004.421875,0,0,-35.067501068,0,0,-0.615000129,-15
1746523751.44454,19.884,0,60004.421875,0,0,-35.067501068,0,0,-0.596999824,-15
1746523751.45535,19.895,0,60004.421875,0,0,-35.067501068,0,0,-0.578999519,-15
1746523751.46606,19.906,0,60004.421875,0,0,-35.067501068,0,0,-0.560999215,-15
1746523751.47675,19.917,0,60004.421875,0,0,-35.067501068,0,0,-0.552000403,-15
1746523751.48802,19.928,0,60004.421875,0,0,-35.067501068,0,0,-0.534000099,-15
1746523751.49875,19.939,0,60004.421875,0,0,-35.067501068,0,0,-0.525001287,-15
1746523751.50953,19.949,0,60004.421875,0,0,-35.067501068,0,0,-0.515999794,-15
1746523751.52014,19.96,0,60004.421875,0,0,-35.067501068,0,0,-0.507000983,-15
1746523751.53074,19.971,0,60004.421875,0,0,-35.067501068,0,0,-0.497999489,-15
1746523751.54163,19.981,0,60004.421875,0,0,-35.067501068,0,0,-0.489000678,-15
1746523751.55233,19.992,0,60004.421875,0,0,-35.067501068,0,0,-0.479999185,-15
1746523751.56295,20.003,0,60004.421875,0,0,-35.067501068,0,0,-0.471000373,-15
1746523751.57394,20.014,0,60004.421875,0,0,-35.067501068,0,0,-0.471000373,-15
1746523751.58454,20.025,0,60004.421875,0,0,-35.067501068,0,0,-0.46199888,-15
1746523751.59528,20.035,0,60004.421875,0,0,-35.067501068,0,0,-0.46199888,-15
1746523751.60601,20.046,0,60004.421875,0,0,-35.067501068,0,0,-0.453000069,-15
1746523751.61668,20.057,0,60004.421875,0,0,-35.067501068,0,0,-0.453000069,-15
1746523751.62737,20.067,0,60004.421875,0,0,-35.067501068,0,0,-0.444001257,-15
1746523751.63808,20.078,0,60004.421875,0,0,-35.067501068,0,0,-0.444001257,-15
1746523751.64877,20.089,0,60004.421875,0,0,-35.067501068,0,0,-0.434999764,-15
1746523751.6596,20.099,0,60004.421875,0,0,-35.067501068,0,0,-0.434999764,-15
1746523751.67028,20.11,0,60004.421875,0,0,-35.067501068,0,0,-0.434999764,-15
1746523751.68087,20.121,0,60004.421875,0,0,-35.067501068,0,0,-0.434999764,-15
1746523751.69161,20.132,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.70236,20.142,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.71327,20.153,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.72382,20.164,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.73488,20.175,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
1746523751.74591,20.186,0,60004.421875,0,0,-35.067501068,0,0,-0.426000953,-15
