time,pitch_effort,pitch_position,pitch_velocity
1747041080.48125,0,-0.569263101,-57.808509827
1747041080.48448,0,-0.582765341,-40.990055084
1747041080.4876,0,-0.663765371,-36.478336334
1747041080.49067,0,-0.704266727,-48.197822571
1747041080.49375,0,-0.677267611,-58.240104675
1747041080.4972,0,-0.663765371,-54.240219116
1747041080.5003,0,-0.650265813,-52.648460388
1747041080.50335,0,-0.650265813,-50.298980713
1747041080.50648,0,-0.650265813,-50.298980713
1747041080.50965,0,-0.663765371,-49.063583374
1747041080.51292,0,-0.650265813,-52.829879761
1747041080.51596,0,-0.650265813,-50.298980713
1747041080.51914,0,-0.650265813,-50.298980713
1747041080.52226,0,-0.650265813,-50.298980713
1747041080.5254,0,-0.650265813,-50.298980713
1747041080.52866,0,-0.650265813,-50.298980713
1747041080.53177,0,-0.636766255,-51.419967651
1747041080.53493,0,-0.636766255,-48.943367004
1747041080.53817,0,-0.636766255,-48.943367004
1747041080.54125,0,-0.623266697,-50.065124512
1747041080.54452,0,-0.623266697,-47.587757111
1747041080.54762,0,-0.636766255,-46.474445343
1747041080.55073,0,-0.663765371,-46.502750397
1747041080.55379,0,-0.663765371,-51.654586792
1747041080.55692,0,-0.690767169,-49.178497314
1747041080.56061,0,-0.717768967,-51.92855072
1747041080.56392,0,-0.731268525,-56.152328491
1747041080.56705,0,-0.744768083,-57.523506165
1747041080.57016,0,-0.744768083,-59.788787842
1747041080.57323,0,-0.771769881,-57.376106262
1747041080.57639,0,-0.785269439,-61.271621704
1747041080.57951,0,-0.785269439,-63.855895996
1747041080.58269,0,-0.785269439,-63.855895996
1747041080.58645,0,-0.785269439,-63.855895996
1747041080.58969,0,-0.798768997,-63.020378113
1747041080.59313,0,-0.798768997,-65.211502075
1747041080.59635,0,-0.785269439,-66.155845642
1747041080.59936,0,-0.785269439,-63.855895996
1747041080.6024,0,-0.785269439,-63.855895996
1747041080.6058,0,-0.785269439,-63.855895996
1747041080.60904,0,-0.785269439,-63.855895996
1747041080.61285,0,-0.785269439,-63.855895996
1747041080.6163,0,-0.785269439,-63.855895996
1747041080.61935,0,-0.785269439,-63.855895996
1747041080.62248,0,-0.798768997,-62.668479919
1747041080.62563,0,-0.798768997,-65.211502075
1747041080.6287,0,-0.812271237,-64.051963806
1747041080.63187,0,-0.825770795,-65.384033203
1747041080.63497,0,-0.839270353,-66.732330322
1747041080.63807,0,-0.852772593,-68.07131958
1747041080.64109,0,-0.866272151,-69.39402771
1747041080.64411,0,-0.866272151,-71.990097046
1747041080.6473,0,-0.866272151,-71.990097046
1747041080.65045,0,-0.866272151,-71.990097046
1747041080.65357,0,-0.879771709,-70.805923462
1747041080.65675,0,-0.879771709,-73.345703125
1747041080.65983,0,-0.866272151,-74.512176514
1747041080.66299,0,-0.866272151,-71.990097046
1747041080.66612,0,-0.866272151,-71.990097046
1747041080.66933,0,-0.852772593,-73.193023682
1747041080.67246,0,-0.839270353,-71.764968872
1747041080.67552,0,-0.825770795,-70.470085144
1747041080.67869,0,-0.825770795,-67.922996521
1747041080.68182,0,-0.812271237,-69.107162476
1747041080.68483,0,-0.798768997,-67.86340332
1747041080.68781,0,-0.798768997,-65.211502075
1747041080.6908,0,-0.798768997,-65.211502075
1747041080.6941,0,-0.798768997,-65.211502075
1747041080.69746,0,-0.798768997,-65.211502075
1747041080.70059,0,-0.798768997,-65.211502075
1747041080.70362,0,-0.798768997,-65.211502075
1747041080.70695,0,-0.798768997,-65.211502075
1747041080.71004,0,-0.798768997,-65.211502075
1747041080.71369,0,-0.798768997,-65.211502075
1747041080.7171,0,-0.798768997,-65.211502075
